income,age,loan_amount,credit_score,employment_years,debt_ratio,num_accounts,employment_type,target
66094.34,54,4243.45,630,11.6,0.4675,1,full_time,0
39200.32,23,8725.93,691,7.4,0.1889,1,full_time,1
75009.02,38,13999.64,724,10.6,0.6924,4,full_time,0
78811.29,41,10119.21,770,2.7,0.5398,3,full_time,0
20979.3,64,33397.31,623,0.6,0.5339,2,part_time,0
33956.41,46,14282.15,726,1.9,0.1487,1,part_time,1
62556.81,45,27361.86,695,7.2,0.449,3,self_employed,0
53675.15,28,13435.02,543,3.5,0.3045,3,full_time,1
59663.98,56,17074.3,832,2.8,0.1696,4,full_time,0
42939.12,36,4429.09,564,3.7,0.5653,3,full_time,1
77587.96,26,11423.42,713,14.5,0.1029,1,full_time,1
75555.84,65,16684.28,711,3.3,0.1057,2,full_time,0
61320.61,30,27688.03,702,8.6,0.3498,4,full_time,0
82544.82,22,16775.86,640,0.6,0.144,3,full_time,1
69350.19,25,26069.76,746,2.8,0.1824,2,full_time,0
42814.15,41,20125.83,555,0.1,0.1809,4,full_time,1
67375.02,26,28019.21,674,0.6,0.4037,6,full_time,0
40822.35,59,14527.66,634,1.3,0.6209,2,part_time,1
77569.01,44,34121.78,625,3.9,0.3383,3,full_time,1
59001.48,36,11116.83,714,14.5,0.275,4,full_time,1
56302.75,22,8868.31,766,7.2,0.2544,2,full_time,0
46381.41,43,5319.58,652,0.0,0.2556,4,full_time,0
84450.83,28,33648.2,742,1.0,0.3548,3,full_time,0
56909.41,65,21555.58,683,12.0,0.0684,4,full_time,0
51433.44,34,12327.03,608,27.1,0.2037,3,full_time,1
52957.33,42,24992.18,659,6.5,0.1187,3,full_time,0
70646.18,22,20501.54,656,9.0,0.2184,1,part_time,0
67308.88,27,30729.02,624,5.2,0.3241,4,part_time,1
68254.65,31,2617.34,714,6.3,0.2998,6,full_time,0
68616.42,24,12877.12,698,8.8,0.5748,3,full_time,0
102832.95,53,11299.83,552,2.3,0.421,3,self_employed,0
51871.7,63,1000.0,547,1.5,0.0331,4,full_time,0
49755.15,65,23482.62,713,2.0,0.3289,2,part_time,1
43724.55,33,12836.83,614,10.0,0.5082,3,full_time,1
72319.59,56,20917.05,704,1.3,0.3801,2,self_employed,0
82579.45,44,33878.18,742,14.5,0.4747,1,full_time,0
57721.05,24,12174.05,578,2.2,0.3708,2,full_time,1
43196.87,25,11630.78,567,0.3,0.468,0,self_employed,1
43510.38,46,15949.31,813,12.4,0.3189,2,part_time,1
73011.86,40,22897.98,708,7.6,0.3078,4,full_time,0
74865.08,22,10466.3,646,11.8,0.3798,2,part_time,0
70863.09,62,9952.31,605,3.4,0.1861,2,self_employed,1
